Facility,Area,Ownership,Primary Use,Condition,Constr Date,Constr Date Num,FIR year renov,Renov Date Num,Constr Date Replaced,Constr Replaced pct,FIR Pct Renov,Occup Date,Occup Date Num,Constr Cost,GT Category,FIR Constr Type,RI-Aux-Other,ASF,Avg cost/sf
85,165607,1,4,REM26-50,1/1/1961 0:00,22282,,,22282,22282,0,1/1/1961 0:00,22282,3162000,ACADI&R,7,100-000-000,96159,215
86,151265,1,4,REM<26,1/1/1964 0:00,23377,,,23377,23377,0,1/1/1964 0:00,23377,2998000,ACADI&R,7,100-000-000,81891,215
90,26341,1,22,SATIS,1/1/1961 0:00,22282,1/1/1995 0:00,34700,34700,29732.8,60,1/1/1961 0:00,22282,378000,RESIDENT,7,001-099-000,16282,105
91,33995,1,22,SATIS,1/1/1961 0:00,22282,1/1/1993 0:00,33970,33970,31632.4,80,1/1/1961 0:00,22282,394000,RESIDENT,7,001-099-000,20971,105
92,20371,1,22,SATIS,1/1/1961 0:00,22282,1/1/1993 0:00,33970,33970,31632.4,80,1/1/1961 0:00,22282,403000,RESIDENT,7,001-099-000,13528,105
93,23775,1,22,SATIS,1/1/1961 0:00,22282,1/1/1991 0:00,33239,33239,31047.6,80,1/1/1961 0:00,22282,369000,RESIDENT,7,001-099-000,14636,105
94,24403,1,22,SATIS,1/1/1961 0:00,22282,1/1/1995 0:00,34700,34700,29732.8,60,1/1/1961 0:00,22282,356000,RESIDENT,7,001-099-000,15942,105
95,98420,1,4,SATIS,1/1/1988 0:00,32143,,,32143,32143,0,1/1/1989 0:00,32509,10200000,ACADI&R,7,100-000-000,47451,250
98,34411,1,4,REM<26,1/1/1967 0:00,24473,,,24473,24473,0,1/1/1967 0:00,24473,750000,ACADI&R,7,100-000-000,21567,180
100,126631,1,7,SATIS,1/1/1968 0:00,24838,1/1/2018 0:00,43101,43101,43101,100,1/1/1968 0:00,24838,3393000,ACADSUPP,7,100-000-000,70215,195
